Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:17:59.725000,SAI,55,,1.0,1.0,0 days 00:15:53.576000,,,0 days 00:00:50.152000,0 days 00:00:38.688000,,0 days 00:17:21.184000,0 days 00:18:00.027000,266.0,249.0,243.0,,False,HARD,1.0,True,Ferrari,0 days 00:15:53.576000,2023-09-15 09:30:53.594,1,,False,,False,False,fp1
0 days 00:19:38.724000,SAI,55,0 days 00:01:38.999000,2.0,1.0,,,0 days 00:00:28.930000,0 days 00:00:42.094000,0 days 00:00:27.975000,0 days 00:18:28.655000,0 days 00:19:10.749000,0 days 00:19:38.724000,303.0,271.0,250.0,281.0,True,HARD,2.0,True,Ferrari,0 days 00:17:59.725000,2023-09-15 09:32:59.743,1,,False,,False,True,fp1
0 days 00:21:56.268000,SAI,55,0 days 00:02:17.544000,3.0,1.0,,,0 days 00:00:32.525000,0 days 00:01:00.630000,0 days 00:00:44.389000,0 days 00:20:11.249000,0 days 00:21:11.879000,0 days 00:21:56.268000,214.0,162.0,248.0,295.0,False,HARD,3.0,True,Ferrari,0 days 00:19:38.724000,2023-09-15 09:34:38.742,1,,False,,False,True,fp1
0 days 00:23:32.396000,SAI,55,0 days 00:01:36.128000,4.0,1.0,,,0 days 00:00:28.172000,0 days 00:00:40.688000,0 days 00:00:27.268000,0 days 00:22:24.440000,0 days 00:23:05.128000,0 days 00:23:32.396000,306.0,274.0,253.0,,True,HARD,4.0,True,Ferrari,0 days 00:21:56.268000,2023-09-15 09:36:56.286,1,,False,,False,True,fp1
0 days 00:26:12.378000,SAI,55,,5.0,1.0,,,0 days 00:00:47.031000,0 days 00:01:10.345000,0 days 00:00:42.538000,0 days 00:24:19.598000,0 days 00:25:29.957000,0 days 00:26:12.378000,141.0,149.0,244.0,197.0,False,HARD,5.0,True,Ferrari,0 days 00:23:32.396000,2023-09-15 09:38:32.414,1,,False,,False,False,fp1
0 days 00:27:48.096000,SAI,55,0 days 00:01:35.718000,6.0,1.0,,,0 days 00:00:28.090000,0 days 00:00:40.383000,0 days 00:00:27.245000,0 days 00:26:40.468000,0 days 00:27:20.851000,0 days 00:27:48.096000,304.0,274.0,252.0,293.0,True,HARD,6.0,True,Ferrari,0 days 00:26:12.378000,2023-09-15 09:41:12.396,1,,False,,False,True,fp1
0 days 00:30:33.982000,SAI,55,,7.0,1.0,,,0 days 00:00:51.932000,0 days 00:01:12.190000,0 days 00:00:41.846000,0 days 00:28:40.125000,0 days 00:29:52.358000,0 days 00:30:34.061000,142.0,122.0,245.0,148.0,False,HARD,7.0,True,Ferrari,0 days 00:27:48.096000,2023-09-15 09:42:48.114,1,,False,,False,False,fp1
0 days 00:32:09.575000,SAI,55,0 days 00:01:35.593000,8.0,1.0,,,0 days 00:00:27.806000,0 days 00:00:40.583000,0 days 00:00:27.204000,0 days 00:31:01.788000,0 days 00:31:42.371000,0 days 00:32:09.575000,307.0,275.0,255.0,295.0,True,HARD,8.0,True,Ferrari,0 days 00:30:33.982000,2023-09-15 09:45:34.000,1,,False,,False,True,fp1
0 days 00:34:27.848000,SAI,55,0 days 00:02:18.273000,9.0,1.0,,0 days 00:34:19.963000,0 days 00:00:40.342000,0 days 00:00:57.267000,0 days 00:00:40.664000,0 days 00:32:49.917000,0 days 00:33:47.184000,0 days 00:34:27.848000,239.0,158.0,,195.0,False,HARD,9.0,True,Ferrari,0 days 00:32:09.575000,2023-09-15 09:47:09.593,1,,False,,False,False,fp1
0 days 00:47:30.715000,SAI,55,,10.0,2.0,0 days 00:45:16.467000,,,0 days 00:00:54.494000,0 days 00:00:32.386000,,0 days 00:46:58.340000,0 days 00:47:30.715000,260.0,246.0,252.0,,False,SOFT,1.0,True,Ferrari,0 days 00:34:27.848000,2023-09-15 09:49:27.866,1,,False,,False,False,fp1
0 days 00:50:19.715000,SAI,55,,11.0,2.0,,,0 days 00:00:42.724000,0 days 00:01:18.080000,0 days 00:00:48.315000,0 days 00:48:13.542000,0 days 00:49:31.400000,0 days 00:50:19.774000,125.0,212.0,250.0,296.0,False,SOFT,2.0,True,Ferrari,0 days 00:47:30.715000,2023-09-15 10:02:30.733,2,,False,,False,False,fp1
0 days 00:51:53.659000,SAI,55,0 days 00:01:33.944000,12.0,2.0,,,0 days 00:00:27.472000,0 days 00:00:39.685000,0 days 00:00:26.787000,0 days 00:50:47.187000,0 days 00:51:26.872000,0 days 00:51:53.659000,309.0,278.0,258.0,297.0,True,SOFT,3.0,True,Ferrari,0 days 00:50:19.715000,2023-09-15 10:05:19.733,1,,False,,False,True,fp1
0 days 00:54:34.473000,SAI,55,,13.0,2.0,,0 days 00:54:26.457000,0 days 00:00:41.999000,0 days 00:01:08.367000,0 days 00:00:50.315000,0 days 00:52:35.850000,0 days 00:53:44.239000,0 days 00:54:34.473000,172.0,134.0,,190.0,False,SOFT,4.0,True,Ferrari,0 days 00:51:53.659000,2023-09-15 10:06:53.677,1,,False,,False,False,fp1
0 days 00:57:23.963000,SAI,55,,14.0,3.0,0 days 00:54:58.910000,,0 days 00:01:19.039000,0 days 00:00:55.133000,0 days 00:00:35.469000,0 days 00:55:53.628000,0 days 00:56:48.658000,0 days 00:57:24.048000,164.0,246.0,250.0,,False,SOFT,5.0,False,Ferrari,0 days 00:54:34.473000,2023-09-15 10:09:34.491,1,,False,,False,False,fp1
0 days 00:59:42.241000,SAI,55,0 days 00:02:18.278000,15.0,3.0,,,0 days 00:00:36.436000,0 days 00:01:02.344000,0 days 00:00:39.498000,0 days 00:58:00.399000,0 days 00:59:02.743000,0 days 00:59:42.241000,179.0,237.0,250.0,296.0,False,SOFT,6.0,False,Ferrari,0 days 00:57:23.963000,2023-09-15 10:12:23.981,1,,False,,False,True,fp1
0 days 01:01:15.669000,SAI,55,0 days 00:01:33.428000,16.0,3.0,,,0 days 00:00:27.391000,0 days 00:00:39.516000,0 days 00:00:26.521000,0 days 01:00:09.632000,0 days 01:00:49.148000,0 days 01:01:15.669000,308.0,275.0,257.0,,True,SOFT,7.0,False,Ferrari,0 days 00:59:42.241000,2023-09-15 10:14:42.259,1,,False,,False,True,fp1
0 days 01:03:11.592000,SAI,55,0 days 00:01:55.923000,17.0,3.0,,0 days 01:03:03.761000,0 days 00:00:31.538000,0 days 00:00:45.489000,0 days 00:00:38.896000,0 days 01:01:47.207000,0 days 01:02:32.696000,0 days 01:03:11.592000,259.0,224.0,,240.0,False,SOFT,8.0,False,Ferrari,0 days 01:01:15.669000,2023-09-15 10:16:15.687,2,,False,,False,False,fp1
0 days 01:08:48.667000,SAI,55,,18.0,4.0,0 days 01:07:06.366000,,,0 days 00:00:43.616000,0 days 00:00:27.993000,,0 days 01:08:20.818000,0 days 01:08:48.677000,280.0,254.0,242.0,,False,HARD,10.0,False,Ferrari,0 days 01:03:11.592000,2023-09-15 10:18:11.610,1,,False,,False,False,fp1
0 days 01:10:27.063000,SAI,55,0 days 00:01:38.396000,19.0,4.0,,,0 days 00:00:28.817000,0 days 00:00:41.758000,0 days 00:00:27.821000,0 days 01:09:17.484000,0 days 01:09:59.242000,0 days 01:10:27.063000,283.0,258.0,242.0,276.0,False,HARD,11.0,False,Ferrari,0 days 01:08:48.667000,2023-09-15 10:23:48.685,1,,False,,False,True,fp1
0 days 01:12:10.049000,SAI,55,0 days 00:01:42.986000,20.0,4.0,,,0 days 00:00:28.872000,0 days 00:00:42.178000,0 days 00:00:31.936000,0 days 01:10:55.935000,0 days 01:11:38.113000,0 days 01:12:10.049000,284.0,258.0,242.0,,False,HARD,12.0,False,Ferrari,0 days 01:10:27.063000,2023-09-15 10:25:27.081,2,,False,,False,True,fp1
0 days 01:13:48.735000,SAI,55,0 days 00:01:38.686000,21.0,4.0,,,0 days 00:00:28.842000,0 days 00:00:41.907000,0 days 00:00:27.937000,0 days 01:12:38.891000,0 days 01:13:20.798000,0 days 01:13:48.735000,286.0,259.0,243.0,279.0,False,HARD,13.0,False,Ferrari,0 days 01:12:10.049000,2023-09-15 10:27:10.067,1,,False,,False,True,fp1
0 days 01:15:27.247000,SAI,55,0 days 00:01:38.512000,22.0,4.0,,,0 days 00:00:28.686000,0 days 00:00:42.089000,0 days 00:00:27.737000,0 days 01:14:17.421000,0 days 01:14:59.510000,0 days 01:15:27.247000,290.0,262.0,247.0,282.0,False,HARD,14.0,False,Ferrari,0 days 01:13:48.735000,2023-09-15 10:28:48.753,1,,False,,False,True,fp1
0 days 01:17:44.136000,SAI,55,0 days 00:02:16.889000,23.0,4.0,,,0 days 00:00:34.049000,0 days 00:00:55.419000,0 days 00:00:47.421000,0 days 01:16:01.296000,0 days 01:16:56.715000,0 days 01:17:44.136000,205.0,166.0,44.0,283.0,False,HARD,15.0,False,Ferrari,0 days 01:15:27.247000,2023-09-15 10:30:27.265,1,,False,,False,True,fp1
0 days 01:20:15.586000,SAI,55,,24.0,4.0,,0 days 01:20:07.196000,0 days 00:00:53.537000,0 days 00:00:51.012000,0 days 00:00:46.822000,0 days 01:18:37.807000,0 days 01:19:28.775000,0 days 01:20:15.586000,290.0,141.0,,204.0,False,HARD,16.0,False,Ferrari,0 days 01:17:44.136000,2023-09-15 10:32:44.154,1,,False,,False,False,fp1
0 days 00:18:28.454000,SAI,55,,1.0,1.0,0 days 00:16:06.998000,,,0 days 00:00:52.596000,0 days 00:00:52.175000,,0 days 00:17:36.434000,0 days 00:18:28.512000,288.0,247.0,250.0,,False,MEDIUM,1.0,True,Ferrari,0 days 00:16:06.998000,2023-09-15 13:01:08.402,1,,False,,False,False,fp2
0 days 00:20:02.604000,SAI,55,0 days 00:01:34.150000,2.0,1.0,,,0 days 00:00:27.626000,0 days 00:00:39.848000,0 days 00:00:26.676000,0 days 00:18:56.080000,0 days 00:19:35.928000,0 days 00:20:02.604000,308.0,276.0,250.0,295.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:18:28.454000,2023-09-15 13:03:29.858,1,,False,,False,True,fp2
0 days 00:22:51.140000,SAI,55,,3.0,1.0,,,0 days 00:00:53.113000,0 days 00:01:12.478000,0 days 00:00:42.951000,0 days 00:20:55.900000,0 days 00:22:08.211000,0 days 00:22:51.210000,156.0,185.0,252.0,132.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:20:02.604000,2023-09-15 13:05:04.008,1,,False,,False,False,fp2
0 days 00:24:24.443000,SAI,55,0 days 00:01:33.303000,4.0,1.0,,,0 days 00:00:27.301000,0 days 00:00:39.567000,0 days 00:00:26.435000,0 days 00:23:18.441000,0 days 00:23:58.008000,0 days 00:24:24.443000,311.0,277.0,255.0,298.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:22:51.140000,2023-09-15 13:07:52.544,1,,False,,False,True,fp2
0 days 00:27:26.943000,SAI,55,,5.0,1.0,,,0 days 00:00:52.516000,0 days 00:01:27.487000,0 days 00:00:42.518000,0 days 00:25:17.145000,0 days 00:26:44.425000,0 days 00:27:27.049000,117.0,146.0,254.0,215.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:24:24.443000,2023-09-15 13:09:25.847,1,,False,,False,False,fp2
0 days 00:29:00.156000,SAI,55,0 days 00:01:33.213000,6.0,1.0,,,0 days 00:00:27.238000,0 days 00:00:39.529000,0 days 00:00:26.446000,0 days 00:27:54.181000,0 days 00:28:33.710000,0 days 00:29:00.156000,310.0,277.0,256.0,298.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:27:26.943000,2023-09-15 13:12:28.347,1,,False,,False,True,fp2
0 days 00:31:09.639000,SAI,55,0 days 00:02:09.483000,7.0,1.0,,0 days 00:31:01.795000,0 days 00:00:33.040000,0 days 00:00:53.979000,0 days 00:00:42.464000,0 days 00:29:33.196000,0 days 00:30:27.175000,0 days 00:31:09.639000,216.0,180.0,,262.0,False,MEDIUM,7.0,True,Ferrari,0 days 00:29:00.156000,2023-09-15 13:14:01.560,1,,False,,False,False,fp2
0 days 00:40:49.207000,SAI,55,,8.0,2.0,0 days 00:38:26.069000,,,0 days 00:00:55.972000,0 days 00:00:38.129000,,0 days 00:40:11.114000,0 days 00:40:49.207000,260.0,240.0,256.0,,False,SOFT,1.0,True,Ferrari,0 days 00:31:09.639000,2023-09-15 13:16:11.043,1,,False,,False,False,fp2
0 days 00:42:21.327000,SAI,55,0 days 00:01:32.120000,9.0,2.0,,,0 days 00:00:27.051000,0 days 00:00:38.945000,0 days 00:00:26.124000,0 days 00:41:16.258000,0 days 00:41:55.203000,0 days 00:42:21.327000,311.0,278.0,258.0,299.0,True,SOFT,2.0,True,Ferrari,0 days 00:40:49.207000,2023-09-15 13:25:50.611,1,,False,,False,True,fp2
0 days 00:44:55.215000,SAI,55,,10.0,2.0,,0 days 00:44:47.249000,0 days 00:00:42.686000,0 days 00:00:59.335000,0 days 00:00:51.840000,0 days 00:43:04.095000,0 days 00:44:03.375000,0 days 00:44:55.234000,204.0,154.0,,229.0,False,SOFT,3.0,True,Ferrari,0 days 00:42:21.327000,2023-09-15 13:27:22.731,1,,False,,False,False,fp2
0 days 00:47:59.293000,SAI,55,,11.0,3.0,0 days 00:45:13.015000,,0 days 00:01:20.372000,0 days 00:00:55.366000,0 days 00:00:48.393000,0 days 00:46:15.639000,0 days 00:47:10.966000,0 days 00:47:59.293000,171.0,219.0,255.0,,False,SOFT,4.0,False,Ferrari,0 days 00:44:55.215000,2023-09-15 13:29:56.619,1,,False,,False,False,fp2
0 days 00:50:12.968000,SAI,55,0 days 00:02:13.675000,12.0,3.0,,,0 days 00:00:28.858000,0 days 00:00:55.245000,0 days 00:00:49.572000,0 days 00:48:28.151000,0 days 00:49:23.396000,0 days 00:50:12.968000,259.0,120.0,255.0,300.0,False,SOFT,5.0,False,Ferrari,0 days 00:47:59.293000,2023-09-15 13:33:00.697,1,,False,,False,True,fp2
